iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,municipality
KSY,medium_airport,Kars Airport,40.562198638916,43.1150016784668,5889,AS,TR,Kars
KTD,medium_airport,Kitadaito Airport,25.9447002411,131.32699585,80,AS,JP,Kitadaitōjima
KTG,medium_airport,Ketapang(Rahadi Usman) Airport,-1.81664001941681,109.962997436523,46,AS,ID,Ketapang-Borneo Island
KTM,large_airport,Tribhuvan International Airport,27.6966,85.3591,4390,AS,NP,Kathmandu
KUA,medium_airport,Kuantan Airport,3.77538990974426,103.208999633789,58,AS,MY,Kuantan
KUH,medium_airport,Kushiro Airport,43.0410003662,144.192993164,327,AS,JP,Kushiro
KUL,large_airport,Kuala Lumpur International Airport,2.745579957962,101.70999908447,69,AS,MY,Kuala Lumpur
KUT,medium_airport,Kopitnari Airport,42.176700592,42.4826011658,223,AS,GE,Kutaisi
KUV,large_airport,Kunsan Air Base,35.9038009643555,126.615997314453,29,AS,KR,Kunsan
KVD,medium_airport,Ganja Airport,40.7377014160156,46.3176002502441,1083,AS,AZ,Ganja
KWE,large_airport,Longdongbao Airport,26.5384998321533,106.801002502441,3736,AS,CN,Guiyang
KWI,large_airport,Kuwait International Airport,29.2266006469727,47.9688987731934,206,AS,KW,Kuwait City
KWJ,medium_airport,Gwangju Airport,35.123173,126.805444,39,AS,KR,Gwangju
KWL,large_airport,Guilin Liangjiang International Airport,25.2180995941162,110.039001464844,570,AS,CN,Guilin City
KXK,medium_airport,Komsomolsk-on-Amur Airport,50.4090003967285,136.934005737305,92,AS,RU,Komsomolsk-on-Amur
KYA,medium_airport,Konya Airport,37.979,32.561901,3392,AS,TR,Konya
KYD,medium_airport,Lanyu Airport,22.0270004272461,121.535003662109,44,AS,TW,Orchid Island
KYP,medium_airport,Kyaukpyu Airport,19.426399230957,93.534797668457,20,AS,MM,Kyaukpyu
KYZ,medium_airport,Kyzyl Airport,51.6693992614746,94.4005966186523,2123,AS,RU,Kyzyl
LAO,medium_airport,Laoag International Airport,18.1781005859375,120.531997680664,25,AS,PH,Laoag City
LBD,medium_airport,Khudzhand Airport,40.2154006958008,69.6947021484375,1450,AS,TJ,Khudzhand
LBU,medium_airport,Labuan Airport,5.30068016052246,115.25,101,AS,MY,Labuan
LCA,large_airport,Larnaca International Airport,34.8750991821289,33.6249008178711,8,AS,CY,Larnarca
LCX,medium_airport,Longyan Guanzhishan Airport,25.6746997833,116.747001648,1225,AS,CN,Longyan
LDS,medium_airport,Lindu Airport,47.7520555556,129.019125,791,AS,CN,Yichun
LDU,medium_airport,Lahad Datu Airport,5.03224992752075,118.323997497559,45,AS,MY,Lahad Datu
LFQ,medium_airport,Linfen Qiaoli Airport,36.132629,111.641236,1483,AS,CN,Linfen
LGK,medium_airport,Langkawi International Airport,6.32973003387451,99.7286987304688,29,AS,MY,Langkawi
LGP,medium_airport,Legazpi City International Airport,13.1575,123.735,66,AS,PH,Legazpi City
LHE,medium_airport,Alama Iqbal International Airport,31.5216007232666,74.4036026000977,712,AS,PK,Lahore
LHW,medium_airport,Lanzhou Zhongchuan Airport,36.5152015686,103.620002747,6388,AS,CN,Lanzhou
LIW,medium_airport,Loikaw Airport,19.691499710083,97.2147979736328,2940,AS,MM,Loikaw
LJG,medium_airport,Lijiang Airport,26.6800003052,100.246002197,,AS,CN,Lijiang
LKO,medium_airport,Chaudhary Charan Singh International Airport,26.7605991364,80.8892974854,410,AS,IN,Lucknow
LLF,medium_airport,Lingling Airport,26.338661,111.610043,340,AS,CN,Yongzhou
LLV,medium_airport,Lüliang Airport,37.683333,111.142778,,AS,CN,Lüliang
LMN,medium_airport,Limbang Airport,4.80830001831055,115.01000213623,14,AS,MY,Limbang
